[21:45:51] [error]   Ip adress is wrong.
[21:45:56] [error]  path:rawData for SetOutputPath doesn't exist
[21:45:56] [error]  CENTER_FREQ is not in par,please check
[11:25:16] [error]  recv error ocurr 10054

[11:25:18] [error]  read information for QueryReg time out
[11:25:18] [error]  send parameters to spectrometer error.
[11:25:18] [error]  send parameters to spectrometer error.
[11:25:18] [error]  send parameters to spectrometer error.
[11:25:18] [error]  send parameters to spectrometer error.
[11:25:18] [error]  send parameters to spectrometer error.
[11:25:18] [error]  send parameters to spectrometer error.
[11:25:18] [error]  send parameters to spectrometer error.
[11:25:18] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
[11:25:20] [error]  send parameters to spectrometer error.
